Education,Income,Recency,Wine,Fruits,Meat,Fish,Sweets,Gold,DealsPurchases,Web,Catalog,Store,WebVisits,Promo3,Promo4,Promo5,Promo1,Promo2,Complain,Z_CostContact,Z_Revenue,Promo6,Age,Age_Range,Customer_For,WebConversionRate,Total_Spent,Total_Purchases,Adults,Dependents,Household_size,Is_Parent,Offers_Accepted,cluster
Postgraduate,58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,57,Pre-retirement,848.0,1.1428571428571428,1617,22,1,0,1,0,1,0
Postgraduate,46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,60,Pre-retirement,298.0,0.2,27,4,1,2,3,1,0,3
Postgraduate,71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,49,Middle Age,497.0,2.0,776,20,2,0,2,0,0,1
Postgraduate,26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,30,Early Adulthood,324.0,0.3333333333333333,53,6,2,1,3,1,0,2
PhD,58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,33,Early Adulthood,346.0,1.0,422,14,2,1,3,1,0,0
Postgraduate,62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,47,Middle Age,478.0,1.0,716,20,2,1,3,1,0,0
Postgraduate,55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,43,Midlife,778.0,1.1666666666666667,590,17,1,1,2,1,0,0
PhD,33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,29,Early Adulthood,602.0,0.5,169,8,2,1,3,1,0,3
PhD,30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,40,Midlife,573.0,0.3333333333333333,46,5,2,1,3,1,1,2
PhD,5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,64,Pre-retirement,293.0,0.05,49,1,2,2,4,1,1,2
Basic,7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,38,Midlife,778.0,0.25,61,5,2,0,2,0,0,2
Postgraduate,63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,55,Pre-retirement,411.0,1.5,1102,15,1,0,1,0,0,0
Postgraduate,59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,62,Pre-retirement,411.0,1.0,310,12,1,2,3,1,0,0
Postgraduate,17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,27,Early Adulthood,812.0,0.125,46,4,2,0,2,0,0,2
PhD,82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,68,Retirement Age,767.0,2.3333333333333335,1315,25,1,0,1,0,3,1
Postgraduate,41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,34,Early Adulthood,737.0,0.375,96,6,2,2,4,1,0,3
Postgraduate,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,68,Retirement Age,852.0,0.5714285714285714,317,11,2,0,2,0,0,3
Postgraduate,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,65,Retirement Age,643.0,2.2,1782,24,2,1,3,1,1,1
2n Cycle,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,29,Early Adulthood,788.0,0.3333333333333333,133,6,1,1,2,1,0,3
Postgraduate,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,32,Early Adulthood,875.0,0.5,316,11,2,0,2,0,0,3
Postgraduate,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,35,Midlife,724.0,0.0,1730,28,2,1,3,1,0,2
PhD,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,65,Retirement Age,738.0,0.25,972,14,2,1,3,1,1,0
PhD,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,60,Pre-retirement,354.0,1.5,544,17,2,1,3,1,0,0
Postgraduate,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,63,Pre-retirement,653.0,0.875,444,13,2,1,3,1,0,3
Postgraduate,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,45,Middle Age,728.0,0.2857142857142857,75,6,1,0,1,0,0,2
Postgraduate,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,38,Midlife,583.0,0.7142857142857143,257,10,2,2,4,1,0,0
